Location,Category,Sub-Category,Land Size(M2),Building Size(M2),Bedrooms,Bathrooms,Longitude,Latitude,Price(Php)
"Rockwell, Makati",Condominium,"Condominium,double-bedroom",32.60000000000002,93.0,2.0,2.0,121.036339,14.562949,24000000.0
"Camarin, Caloocan",House,"House,single-family-house",240.0,320.0,5.0,4.0,121.03773,14.74393,10000000.0
"Gaya-Gaya, San Jose del Monte",Land,"Land,residential-lot",1215.5,728.0,7.0,7.199999999999999,121.0356795,14.7913736,33000000.0
"Molino III, Bacoor",House,"House,single-family-house",200.0,200.0,3.0,2.0,120.9777822,14.3981207,7310000.0
"Paliparan II, Dasmarinas",Land,"Land,residential-lot",270.0,427.6,5.0,4.8,120.99031,14.30488,15000000.0
"Santa Ana, Calatagan",Land,"Land,beach-lot",400.0,2.842170943040401e-14,2.1999999999999997,1.4000000000000001,120.654309,13.79875,17000000.0
"Almanza Dos, Las Pinas",House,"House,single-family-house",350.0,391.0,3.0,5.5,121.0078767,14.4023926,55000000.0
"Almanza Dos, Las Pinas",House,"House,single-family-house",350.0,391.0,3.0,5.5,121.0078767,14.4023926,55000000.0
"Alabang, Muntinlupa",House,"House,single-family-house",467.0,414.0,3.0,5.0,121.037608,14.4179774,65000000.0
"Alabang, Muntinlupa",House,"House,single-family-house",467.0,414.0,3.0,5.0,121.037608,14.4179774,65000000.0
"Tungkong Mangga, San Jose del Monte",Land,"Land,residential-lot",150.0,192.4,4.0,4.0,121.0961887,14.7844513,3525000.0
"Tungkong Mangga, San Jose del Monte",Land,"Land,residential-lot",150.0,192.4,4.0,4.0,121.0961887,14.7844513,3525000.0
"Tungkong Mangga, San Jose del Monte",Land,"Land,residential-lot",150.0,192.4,4.0,4.0,121.0961887,14.7844513,3525000.0
"Almanza Dos, Las Pinas",House,"House,single-family-house",467.0,414.0,3.0,5.0,121.0078767,14.4023926,65000000.0
"Tungkong Mangga, San Jose del Monte",Land,"Land,residential-lot",240.0,337.0,4.3999999999999995,4.3999999999999995,121.0961887,14.7844513,5640000.0
